id,namespace,path,description_id,class,max_stack,max_damage,tags,producer_recipes,consumer_recipes,resource_references
"betterarcheology:netherite_brush","betterarcheology","netherite_brush","item.betterarcheology.netherite_brush","net.Pandarix.item.BetterBrushItem","1","1024","c:enchantables|c:tools|c:tools/brush|enchanted:tool_poppet_whitelist|immersiveengineering:toolbox/tools|minecraft:enchantable/durability|minecraft:enchantable/vanishing","1","1","2"
"betterarcheology:ocelot_fossil","betterarcheology","ocelot_fossil","block.betterarcheology.ocelot_fossil","net.minecraft.world.item.BlockItem","64","0","","1","0","3"
"betterarcheology:ocelot_fossil_body","betterarcheology","ocelot_fossil_body","block.betterarcheology.ocelot_fossil_body","net.minecraft.world.item.BlockItem","64","0","","0","1","7"
"betterarcheology:ocelot_fossil_head","betterarcheology","ocelot_fossil_head","block.betterarcheology.ocelot_fossil_head","net.minecraft.world.item.BlockItem","64","0","","0","1","7"
"betterarcheology:radiance_totem","betterarcheology","radiance_totem","block.betterarcheology.radiance_totem","net.minecraft.world.item.BlockItem","64","0","","0","0","1"
"betterarcheology:rotten_door","betterarcheology","rotten_door","block.betterarcheology.rotten_door","net.minecraft.world.item.BlockItem","64","0","minecraft:doors|minecraft:wooden_doors","1","0","3"
"betterarcheology:rotten_fence","betterarcheology","rotten_fence","block.betterarcheology.rotten_fence","net.minecraft.world.item.BlockItem","64","0","c:fences|c:fences/wooden|minecraft:fences|minecraft:wooden_fences","1","17","3"
"betterarcheology:rotten_fence_gate","betterarcheology","rotten_fence_gate","block.betterarcheology.rotten_fence_gate","net.minecraft.world.item.BlockItem","64","0","minecraft:fence_gates","1","0","4"
"betterarcheology:rotten_log","betterarcheology","rotten_log","block.betterarcheology.rotten_log","net.minecraft.world.item.BlockItem","64","0","betterarcheology:rotten_logs|minecraft:completes_find_tree_tutorial|minecraft:logs|minecraft:logs_that_burn","0","12","3"
"betterarcheology:rotten_planks","betterarcheology","rotten_planks","block.betterarcheology.rotten_planks","net.minecraft.world.item.BlockItem","64","0","minecraft:planks","1","103","17"
"betterarcheology:rotten_pressure_plate","betterarcheology","rotten_pressure_plate","block.betterarcheology.rotten_pressure_plate","net.minecraft.world.item.BlockItem","64","0","minecraft:wooden_pressure_plates","1","0","3"
"betterarcheology:rotten_slab","betterarcheology","rotten_slab","block.betterarcheology.rotten_slab","net.minecraft.world.item.BlockItem","64","0","minecraft:slabs|minecraft:wooden_slabs","1","8","3"
"betterarcheology:rotten_stairs","betterarcheology","rotten_stairs","block.betterarcheology.rotten_stairs","net.minecraft.world.item.BlockItem","64","0","minecraft:stairs","1","0","3"
"betterarcheology:rotten_trapdoor","betterarcheology","rotten_trapdoor","block.betterarcheology.rotten_trapdoor","net.minecraft.world.item.BlockItem","64","0","minecraft:trapdoors|minecraft:wooden_trapdoors","1","1","3"
"betterarcheology:sheep_fossil","betterarcheology","sheep_fossil","block.betterarcheology.sheep_fossil","net.minecraft.world.item.BlockItem","64","0","","1","0","4"
"betterarcheology:sheep_fossil_body","betterarcheology","sheep_fossil_body","block.betterarcheology.sheep_fossil_body","net.minecraft.world.item.BlockItem","64","0","","0","1","7"
"betterarcheology:sheep_fossil_head","betterarcheology","sheep_fossil_head","block.betterarcheology.sheep_fossil_head","net.minecraft.world.item.BlockItem","64","0","","0","1","7"
"betterarcheology:soul_totem","betterarcheology","soul_totem","item.betterarcheology.soul_totem","net.Pandarix.item.SoulTotemItem","1","32","","0","0","2"
"betterarcheology:suspicious_dirt","betterarcheology","suspicious_dirt","block.betterarcheology.suspicious_dirt","net.minecraft.world.item.BlockItem","64","0","","0","0","1"
"betterarcheology:suspicious_red_sand","betterarcheology","suspicious_red_sand","block.betterarcheology.suspicious_red_sand","net.minecraft.world.item.BlockItem","64","0","","0","0","1"
"betterarcheology:torrent_totem","betterarcheology","torrent_totem","item.betterarcheology.torrent_totem","net.Pandarix.item.TorrentTotemItem","1","32","","0","0","2"
"betterarcheology:unidentified_artifact","betterarcheology","unidentified_artifact","item.betterarcheology.unidentified_artifact","net.minecraft.world.item.Item","64","0","","1","3","7"
"betterarcheology:vase","betterarcheology","vase","block.betterarcheology.vase","net.minecraft.world.item.BlockItem","64","0","","0","0","3"
"betterarcheology:vase_creeper","betterarcheology","vase_creeper","block.betterarcheology.vase_creeper","net.minecraft.world.item.BlockItem","64","0","","0","0","2"
"betterarcheology:vase_green","betterarcheology","vase_green","block.betterarcheology.vase_green","net.minecraft.world.item.BlockItem","64","0","","0","0","2"
"betterarcheology:villager_fossil","betterarcheology","villager_fossil","block.betterarcheology.villager_fossil","net.minecraft.world.item.BlockItem","64","0","","1","0","3"
"betterarcheology:villager_fossil_body","betterarcheology","villager_fossil_body","block.betterarcheology.villager_fossil_body","net.minecraft.world.item.BlockItem","64","0","","0","1","7"
"betterarcheology:villager_fossil_head","betterarcheology","villager_fossil_head","block.betterarcheology.villager_fossil_head","net.minecraft.world.item.BlockItem","64","0","","0","1","7"
"betterarcheology:wolf_fossil","betterarcheology","wolf_fossil","block.betterarcheology.wolf_fossil","net.minecraft.world.item.BlockItem","64","0","","1","0","3"
"betterarcheology:wolf_fossil_body","betterarcheology","wolf_fossil_body","block.betterarcheology.wolf_fossil_body","net.minecraft.world.item.BlockItem","64","0","","0","1","6"
"betterarcheology:wolf_fossil_head","betterarcheology","wolf_fossil_head","block.betterarcheology.wolf_fossil_head","net.minecraft.world.item.BlockItem","64","0","","0","1","6"
"bloodlines:bloodline_fang_bloodknight","bloodlines","bloodline_fang_bloodknight","item.bloodlines.bloodline_fang_bloodknight","com.thedrofdoctoring.bloodlines.items.BloodlineFang","1","0","","0","0","0"
"bloodlines:bloodline_fang_ectotherm","bloodlines","bloodline_fang_ectotherm","item.bloodlines.bloodline_fang_ectotherm","com.thedrofdoctoring.bloodlines.items.BloodlineFang","1","0","","0","0","0"
"bloodlines:bloodline_fang_gravebound","bloodlines","bloodline_fang_gravebound","item.bloodlines.bloodline_fang_gravebound","com.thedrofdoctoring.bloodlines.items.BloodlineFang","1","0","","0","0","0"
"bloodlines:bloodline_fang_noble","bloodlines","bloodline_fang_noble","item.bloodlines.bloodline_fang_noble","com.thedrofdoctoring.bloodlines.items.BloodlineFang","1","0","","0","0","0"
"bloodlines:bloodline_fang_zealot","bloodlines","bloodline_fang_zealot","item.bloodlines.bloodline_fang_zealot","com.thedrofdoctoring.bloodlines.items.BloodlineFang","1","0","","0","0","0"
"bloodlines:bloodline_tester","bloodlines","bloodline_tester","item.bloodlines.bloodline_tester","com.thedrofdoctoring.bloodlines.items.BloodlineTesterItem","1","0","","1","0","1"
"bloodlines:bottomless_chalice","bloodlines","bottomless_chalice","item.bloodlines.bottomless_chalice","com.thedrofdoctoring.bloodlines.items.BottomlessChaliceItem","1","0","","1","0","1"
"bloodlines:corrupted_blood_sample","bloodlines","corrupted_blood_sample","item.bloodlines.corrupted_blood_sample","net.minecraft.world.item.Item","64","0","","0","2","6"
"bloodlines:creative_soul_binder","bloodlines","creative_soul_binder","item.bloodlines.creative_soul_binder","com.thedrofdoctoring.bloodlines.items.SoulBinderItem","1","0","","0","0","0"
"bloodlines:freezing_elixir","bloodlines","freezing_elixir","item.bloodlines.freezing_elixir","com.thedrofdoctoring.bloodlines.items.ElixirItem","1","0","","1","0","1"
"bloodlines:frozen_blood_sample","bloodlines","frozen_blood_sample","item.bloodlines.frozen_blood_sample","net.minecraft.world.item.Item","64","0","","0","2","4"
"bloodlines:heinous_elixir","bloodlines","heinous_elixir","item.bloodlines.heinous_elixir","com.thedrofdoctoring.bloodlines.items.ElixirItem","1","0","","1","0","2"
"bloodlines:lordslayer_injection","bloodlines","lordslayer_injection","item.bloodlines.lordslayer_injection","com.thedrofdoctoring.bloodlines.items.LordslayerInjectionItem","1","0","","1","0","2"
"bloodlines:phylactery","bloodlines","phylactery","block.bloodlines.phylactery","net.minecraft.world.item.BlockItem","64","0","","1","0","3"
"bloodlines:purity_injection","bloodlines","purity_injection","item.bloodlines.purity_injection","net.minecraft.world.item.Item","1","0","","1","0","1"
"bloodlines:regular_soul_binder","bloodlines","regular_soul_binder","item.bloodlines.regular_soul_binder","com.thedrofdoctoring.bloodlines.items.SoulBinderItem","1","0","","1","0","1"
"bloodlines:rending_elixir","bloodlines","rending_elixir","item.bloodlines.rending_elixir","com.thedrofdoctoring.bloodlines.core.BloodlinesItems$1","1","0","","1","0","2"
"bloodlines:zealot_altar","bloodlines","zealot_altar","block.bloodlines.zealot_altar","net.minecraft.world.item.BlockItem","64","0","","0","0","1"
"bloodlines:zealot_ritual_catalyst","bloodlines","zealot_ritual_catalyst","item.bloodlines.zealot_ritual_catalyst","net.minecraft.world.item.Item","64","0","","1","0","1"
"cnc:beaver_head","cnc","beaver_head","block.cnc.beaver_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","3"
"cnc:beaver_spawn_egg","cnc","beaver_spawn_egg","item.cnc.beaver_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:bewitched_timber_wolf_spawn_egg","cnc","bewitched_timber_wolf_spawn_egg","item.cnc.bewitched_timber_wolf_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:black_bear_head","cnc","black_bear_head","block.cnc.black_bear_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","3"
"cnc:black_bear_spawn_egg","cnc","black_bear_spawn_egg","item.cnc.black_bear_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:buckskin","cnc","buckskin","item.cnc.buckskin","net.imasillylittleguy.cnc.item.DeerLeatherItem","64","0","","0","5","11"
"cnc:buckskin_boots","cnc","buckskin_boots","item.cnc.buckskin_boots","net.imasillylittleguy.cnc.item.BuckskinItem","64","0","","1","0","1"
"cnc:buckskin_chestplate","cnc","buckskin_chestplate","item.cnc.buckskin_chestplate","net.imasillylittleguy.cnc.item.BuckskinItem","64","0","","1","0","2"
"cnc:buckskin_helmet","cnc","buckskin_helmet","item.cnc.buckskin_helmet","net.imasillylittleguy.cnc.item.BuckskinItem","64","0","","1","0","1"
"cnc:buckskin_leggings","cnc","buckskin_leggings","item.cnc.buckskin_leggings","net.imasillylittleguy.cnc.item.BuckskinItem","64","0","","1","0","1"
"cnc:caribou_antler","cnc","caribou_antler","item.cnc.caribou_antler","net.imasillylittleguy.cnc.item.CaribouAntlerItem","16","0","cnc:antlers","0","2","3"
"cnc:caribou_head","cnc","caribou_head","block.cnc.caribou_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","4"
"cnc:caribou_spawn_egg","cnc","caribou_spawn_egg","item.cnc.caribou_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:chupacabra_head","cnc","chupacabra_head","block.cnc.chupacabra_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","4"
"cnc:chupacabra_spawn_egg","cnc","chupacabra_spawn_egg","item.cnc.chupacabra_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:cooked_game","cnc","cooked_game","item.cnc.cooked_game","net.imasillylittleguy.cnc.item.CookedGameItem","64","0","c:animal_foods|c:meats|minecraft:meat|minecraft:wolf_food|occultism:demonic_partner_food|werewolves:werewolf_food","3","0","5"
"cnc:cooked_turkey","cnc","cooked_turkey","block.cnc.cooked_turkey","net.minecraft.world.item.BlockItem","64","0","","2","0","3"
"cnc:cooked_venison","cnc","cooked_venison","item.cnc.cooked_venison","net.imasillylittleguy.cnc.item.CookedvenisonItem","64","0","c:animal_foods|c:meats|minecraft:meat|minecraft:wolf_food|occultism:demonic_partner_food|werewolves:werewolf_food","3","2","7"
"cnc:cooked_waterfowl","cnc","cooked_waterfowl","item.cnc.cooked_waterfowl","net.imasillylittleguy.cnc.item.CookedWaterfowlItem","64","0","c:animal_foods|c:meats|minecraft:meat|minecraft:wolf_food|occultism:demonic_partner_food|werewolves:werewolf_food","3","0","5"
"cnc:cougar_head","cnc","cougar_head","block.cnc.cougar_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","3"
"cnc:cougar_spawn_egg","cnc","cougar_spawn_egg","item.cnc.cougar_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:coyote_head","cnc","coyote_head","block.cnc.coyote_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","3"
"cnc:coyote_spawn_egg","cnc","coyote_spawn_egg","item.cnc.coyote_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:effigy","cnc","effigy","block.cnc.effigy","net.imasillylittleguy.cnc.block.display.EffigyDisplayItem","64","0","","1","0","2"
"cnc:elk_antler","cnc","elk_antler","item.cnc.elk_antler","net.imasillylittleguy.cnc.item.ElkAntlerItem","16","0","cnc:antlers","0","2","3"
"cnc:elk_head","cnc","elk_head","block.cnc.elk_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","3"
"cnc:elk_spawn_egg","cnc","elk_spawn_egg","item.cnc.elk_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:field_guide","cnc","field_guide","item.cnc.field_guide","net.imasillylittleguy.cnc.item.FieldGuideItem","1","0","","1","0","2"
"cnc:frozen_antler","cnc","frozen_antler","item.cnc.frozen_antler","net.imasillylittleguy.cnc.item.FrozenAntlerItem","16","0","cnc:antlers","0","2","3"
"cnc:giant_boar_head","cnc","giant_boar_head","block.cnc.giant_boar_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","4"
"cnc:giant_boar_spawn_egg","cnc","giant_boar_spawn_egg","item.cnc.giant_boar_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:giant_tusk","cnc","giant_tusk","item.cnc.giant_tusk","net.imasillylittleguy.cnc.item.GianttuskItem","64","0","","0","1","2"
"cnc:goose_spawn_egg","cnc","goose_spawn_egg","item.cnc.goose_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:howler_head","cnc","howler_head","block.cnc.howler_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","4"
"cnc:howler_spawn_egg","cnc","howler_spawn_egg","item.cnc.howler_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:hunters_stew","cnc","hunters_stew","item.cnc.hunters_stew","net.imasillylittleguy.cnc.item.DeerstewItem","1","0","","1","0","1"
"cnc:kill_stick","cnc","kill_stick","item.cnc.kill_stick","net.imasillylittleguy.cnc.item.KillStickItem","1","0","","0","0","0"
"cnc:lucky_wishbone","cnc","lucky_wishbone","item.cnc.lucky_wishbone","net.imasillylittleguy.cnc.item.LuckyWishboneItem","64","0","","0","0","1"
"cnc:marmot_head","cnc","marmot_head","block.cnc.marmot_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","3"
"cnc:marmot_spawn_egg","cnc","marmot_spawn_egg","item.cnc.marmot_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:mouse_spawn_egg","cnc","mouse_spawn_egg","item.cnc.mouse_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:mule_deer_head","cnc","mule_deer_head","block.cnc.mule_deer_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","3"
"cnc:mule_deer_spawn_egg","cnc","mule_deer_spawn_egg","item.cnc.mule_deer_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:music_disc_hills","cnc","music_disc_hills","item.cnc.music_disc_hills","net.imasillylittleguy.cnc.item.MusicDiscHillsItem","1","0","minecraft:music_discs","0","0","2"
"cnc:music_disc_slough_choir","cnc","music_disc_slough_choir","item.cnc.music_disc_slough_choir","net.imasillylittleguy.cnc.item.MusicDiscSloughChoirItem","1","0","minecraft:music_discs","0","0","1"
"cnc:music_disc_wreck_of_the_old_97","cnc","music_disc_wreck_of_the_old_97","item.cnc.music_disc_wreck_of_the_old_97","net.imasillylittleguy.cnc.item.MusicDiscWreckOfTheOld97Item","1","0","minecraft:music_discs","0","0","2"
"cnc:parcooked_game","cnc","parcooked_game","item.cnc.parcooked_game","net.imasillylittleguy.cnc.item.ParcookedGameItem","64","0","c:animal_foods|c:meats|minecraft:meat|minecraft:wolf_food|occultism:demonic_partner_food|werewolves:werewolf_food","3","3","9"
"cnc:pemmican","cnc","pemmican","item.cnc.pemmican","net.imasillylittleguy.cnc.item.PemmicanItem","64","0","c:animal_foods|minecraft:meat|minecraft:wolf_food|occultism:demonic_partner_food|werewolves:werewolf_food","1","0","2"
"cnc:pit_viper_spawn_egg","cnc","pit_viper_spawn_egg","item.cnc.pit_viper_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:potofmouse","cnc","potofmouse","item.cnc.potofmouse","net.imasillylittleguy.cnc.item.PotofmouseItem","1","0","","0","0","1"
"cnc:rattlesnake_spawn_egg","cnc","rattlesnake_spawn_egg","item.cnc.rattlesnake_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:raw_game","cnc","raw_game","item.cnc.raw_game","net.imasillylittleguy.cnc.item.RawGameItem","64","0","c:animal_foods|c:meats|minecraft:meat|minecraft:wolf_food|occultism:demonic_partner_food|werewolves:werewolf_food","0","3","11"
"cnc:raw_turkey","cnc","raw_turkey","item.cnc.raw_turkey","net.imasillylittleguy.cnc.item.RawTurkeyItem","64","0","","0","2","3"
"cnc:raw_venison","cnc","raw_venison","item.cnc.raw_venison","net.imasillylittleguy.cnc.item.RawvenisonItem","64","0","c:animal_foods|c:meats|minecraft:meat|minecraft:wolf_food|occultism:demonic_partner_food|werewolves:werewolf_food","0","3","10"
"cnc:raw_waterfowl","cnc","raw_waterfowl","item.cnc.raw_waterfowl","net.imasillylittleguy.cnc.item.RawWaterfowlItem","64","0","c:animal_foods|c:meats|minecraft:meat|minecraft:wolf_food|occultism:demonic_partner_food|werewolves:werewolf_food","0","3","6"
"cnc:ringtail_head","cnc","ringtail_head","block.cnc.ringtail_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","3"
"cnc:ringtail_spawn_egg","cnc","ringtail_spawn_egg","item.cnc.ringtail_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:sasquatch_head","cnc","sasquatch_head","block.cnc.sasquatch_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","4"
"cnc:sasquatch_spawn_egg","cnc","sasquatch_spawn_egg","item.cnc.sasquatch_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:skinwalker_head","cnc","skinwalker_head","block.cnc.skinwalker_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","5"
"cnc:skinwalker_spawn_egg","cnc","skinwalker_spawn_egg","item.cnc.skinwalker_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:skunk_head","cnc","skunk_head","block.cnc.skunk_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","3"
"cnc:skunk_spawn_egg","cnc","skunk_spawn_egg","item.cnc.skunk_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:snake_spawn_egg","cnc","snake_spawn_egg","item.cnc.snake_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:squonk_head","cnc","squonk_head","block.cnc.squonk_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","4"
"cnc:squonk_spawn_egg","cnc","squonk_spawn_egg","item.cnc.squonk_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:timber_wolf_head","cnc","timber_wolf_head","block.cnc.timber_wolf_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","3"
"cnc:timber_wolf_spawn_egg","cnc","timber_wolf_spawn_egg","item.cnc.timber_wolf_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:turkey_spawn_egg","cnc","turkey_spawn_egg","item.cnc.turkey_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:tusk_club","cnc","tusk_club","item.cnc.tusk_club","net.imasillylittleguy.cnc.item.TuskClubItem","1","1500","betterarcheology:tunneling_items|c:enchantables|c:tools|enchanted:tool_poppet_whitelist|immersiveengineering:toolbox/tools|minecraft:breaks_decorated_pots|minecraft:enchantable/durability|minecraft:enchantable/mining|minecraft:enchantable/mining_loot|minecraft:enchantable/vanishing|minecraft:pickaxes","1","0","2"
"cnc:unlucky_wishbone","cnc","unlucky_wishbone","item.cnc.unlucky_wishbone","net.imasillylittleguy.cnc.item.UnluckyWishboneItem","64","0","","0","0","1"
"cnc:wechuge_head","cnc","wechuge_head","block.cnc.wechuge_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","5"
"cnc:wechuge_spawn_egg","cnc","wechuge_spawn_egg","item.cnc.wechuge_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:wendigo_head","cnc","wendigo_head","block.cnc.wendigo_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","5"
"cnc:wendigo_spawn_egg","cnc","wendigo_spawn_egg","item.cnc.wendigo_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:white_tailed_deer_antler","cnc","white_tailed_deer_antler","item.cnc.white_tailed_deer_antler","net.imasillylittleguy.cnc.item.WhiteTailedDeerAntlerItem","16","0","cnc:antlers","0","2","4"
"cnc:white_tailed_deer_head","cnc","white_tailed_deer_head","block.cnc.white_tailed_deer_head","net.minecraft.world.item.BlockItem","64","0","cnc:mob_heads","0","1","3"
"cnc:white_tailed_deer_spawn_egg","cnc","white_tailed_deer_spawn_egg","item.cnc.white_tailed_deer_spawn_egg","net.neoforged.neoforge.common.DeferredSpawnEggItem","64","0","","0","0","0"
"cnc:wishbone","cnc","wishbone","item.cnc.wishbone","net.imasillylittleguy.cnc.item.WishboneItem","64","0","","0","0","3"
