id,namespace,serializer,serializer_namespace,recipe_type,result,result_count,ingredient_slots,ingredient_probe_status,result_probe_status,class
"almostunified:mythsandlegends","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:occultism","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:townstead","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:vampiresdelight","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:vampiresneedumbrellas","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:vampiricageing","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:vampirism","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:vampirismrings","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:werewolves","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"antiqueatlas:atlas_clone","antiqueatlas","antiqueatlas:atlas_clone","antiqueatlas","minecraft:crafting","","","0","EMPTY","EMPTY","hunternif.mc.impl.atlas.item.RecipeAtlasCloning"
"antiqueatlas:atlas_combine","antiqueatlas","antiqueatlas:atlas_combine","antiqueatlas","minecraft:crafting","antiqueatlas:antique_atlas","1","0","EMPTY","OK","hunternif.mc.impl.atlas.item.RecipeAtlasCombining"
"antiqueatlas:empty_atlas","antiqueatlas","minecraft:crafting_shapeless","minecraft","minecraft:crafting","antiqueatlas:empty_antique_atlas","1","2","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"antiqueatlas:empty_atlas_new","antiqueatlas","minecraft:crafting_shapeless","minecraft","minecraft:crafting","antiqueatlas:empty_antique_atlas","1","2","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"betterarcheology:archeology_table","betterarcheology","minecraft:crafting_shaped","minecraft","minecraft:crafting","betterarcheology:archeology_table","1","6","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"betterarcheology:bomb","betterarcheology","minecraft:crafting_shaped","minecraft","minecraft:crafting","betterarcheology:bomb","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"betterarcheology:chicken_fossil","betterarcheology","minecraft:crafting_shapeless","minecraft","minecraft:crafting","betterarcheology:chicken_fossil","1","2","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"betterarcheology:cracked_mud_brick_slab","betterarcheology","minecraft:crafting_shaped","minecraft","minecraft:crafting","betterarcheology:cracked_mud_brick_slab","6","3","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"betterarcheology:cracked_mud_brick_stairs","betterarcheology","minecraft:crafting_shaped","minecraft","minecraft:crafting","betterarcheology:cracked_mud_brick_stairs","4","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"betterarcheology:cracked_mud_bricks","betterarcheology","minecraft:smelting","minecraft","minecraft:smelting","betterarcheology:cracked_mud_bricks","1","1","OK","OK","net.minecraft.world.item.crafting.SmeltingRecipe"
"betterarcheology:creeper_fossil","betterarcheology","minecraft:crafting_shapeless","minecraft","minecraft:crafting","betterarcheology:creeper_fossil","1","2","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"betterarcheology:diamond_brush","betterarcheology","minecraft:crafting_shaped","minecraft","minecraft:crafting","betterarcheology:diamond_brush","1","3","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"betterarcheology:guardian_fossil","betterarcheology","minecraft:crafting_shapeless","minecraft","minecraft:crafting","betterarcheology:guardian_fossil","1","2","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"betterarcheology:iron_brush","betterarcheology","minecraft:crafting_shaped","minecraft","minecraft:crafting","betterarcheology:iron_brush","1","3","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"betterarcheology:ocelot_fossil","betterarcheology","minecraft:crafting_shapeless","minecraft","minecraft:crafting","betterarcheology:ocelot_fossil","1","2","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"betterarcheology:penetrating_strike_from_identifying","betterarcheology","betterarcheology:identifying","betterarcheology","betterarcheology:identifying","minecraft:enchanted_book","1","1","OK","OK","net.Pandarix.recipe.IdentifyingRecipe"
"betterarcheology:rotten_door","betterarcheology","minecraft:crafting_shaped","minecraft","minecraft:crafting","betterarcheology:rotten_door","3","6","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"betterarcheology:rotten_fence","betterarcheology","minecraft:crafting_shaped","minecraft","minecraft:crafting","betterarcheology:rotten_fence","3","6","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"betterarcheology:rotten_fence_gate","betterarcheology","minecraft:crafting_shaped","minecraft","minecraft:crafting","betterarcheology:rotten_fence_gate","1","6","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"betterarcheology:rotten_planks","betterarcheology","minecraft:crafting_shapeless","minecraft","minecraft:crafting","betterarcheology:rotten_planks","4","1","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"betterarcheology:rotten_pressure_plate","betterarcheology","minecraft:crafting_shaped","minecraft","minecraft:crafting","betterarcheology:rotten_pressure_plate","1","2","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"betterarcheology:rotten_slab","betterarcheology","minecraft:crafting_shaped","minecraft","minecraft:crafting","betterarcheology:rotten_slab","6","3","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"betterarcheology:rotten_stairs","betterarcheology","minecraft:crafting_shaped","minecraft","minecraft:crafting","betterarcheology:rotten_stairs","4","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"betterarcheology:rotten_trapdoor","betterarcheology","minecraft:crafting_shaped","minecraft","minecraft:crafting","betterarcheology:rotten_trapdoor","2","6","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"betterarcheology:sheep_fossil","betterarcheology","minecraft:crafting_shapeless","minecraft","minecraft:crafting","betterarcheology:sheep_fossil","1","2","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"betterarcheology:soaring_winds_from_identifying","betterarcheology","betterarcheology:identifying","betterarcheology","betterarcheology:identifying","minecraft:enchanted_book","1","1","OK","OK","net.Pandarix.recipe.IdentifyingRecipe"
"betterarcheology:tunneling_from_identifying","betterarcheology","betterarcheology:identifying","betterarcheology","betterarcheology:identifying","minecraft:enchanted_book","1","1","OK","OK","net.Pandarix.recipe.IdentifyingRecipe"
"betterarcheology:unidentified_artifact","betterarcheology","minecraft:crafting_shaped","minecraft","minecraft:crafting","betterarcheology:unidentified_artifact","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"betterarcheology:villager_fossil","betterarcheology","minecraft:crafting_shapeless","minecraft","minecraft:crafting","betterarcheology:villager_fossil","1","2","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"betterarcheology:wolf_fossil","betterarcheology","minecraft:crafting_shapeless","minecraft","minecraft:crafting","betterarcheology:wolf_fossil","1","2","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"bloodlines:bloodline_tester","bloodlines","minecraft:crafting_shapeless","minecraft","minecraft:crafting","bloodlines:bloodline_tester","1","3","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"bloodlines:bottomless_chalice","bloodlines","minecraft:crafting_shaped","minecraft","minecraft:crafting","bloodlines:bottomless_chalice","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"bloodlines:frozen_elixir","bloodlines","minecraft:crafting_shapeless","minecraft","minecraft:crafting","bloodlines:freezing_elixir","1","7","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"bloodlines:heinous_elixir","bloodlines","minecraft:crafting_shapeless","minecraft","minecraft:crafting","bloodlines:heinous_elixir","1","9","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"bloodlines:lordslayer_injection","bloodlines","minecraft:crafting_shaped","minecraft","minecraft:crafting","bloodlines:lordslayer_injection","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"bloodlines:phylactery","bloodlines","minecraft:crafting_shaped","minecraft","minecraft:crafting","bloodlines:phylactery","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"bloodlines:purity_injection","bloodlines","minecraft:crafting_shapeless","minecraft","minecraft:crafting","bloodlines:purity_injection","1","3","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"bloodlines:rending_elixir","bloodlines","vampirism:alchemical_table","vampirism","vampirism:alchemical_table","bloodlines:rending_elixir","1","1","OK","OK","de.teamlapen.vampirism.recipes.AlchemyTableRecipe"
"bloodlines:ritual_catalyst","bloodlines","minecraft:crafting_shapeless","minecraft","minecraft:crafting","bloodlines:zealot_ritual_catalyst","1","8","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"bloodlines:soul_binder","bloodlines","minecraft:crafting_shaped","minecraft","minecraft:crafting","bloodlines:regular_soul_binder","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"cnc:bone_meal","cnc","minecraft:crafting_shapeless","minecraft","minecraft:crafting","minecraft:bone_meal","3","1","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"cnc:buckskin_armor_boots_recipe","cnc","minecraft:crafting_shaped","minecraft","minecraft:crafting","cnc:buckskin_boots","1","6","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"cnc:buckskin_armor_chestplate_recipe","cnc","minecraft:crafting_shaped","minecraft","minecraft:crafting","cnc:buckskin_chestplate","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"cnc:buckskin_armor_helmet_recipe","cnc","minecraft:crafting_shaped","minecraft","minecraft:crafting","cnc:buckskin_helmet","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"cnc:buckskin_armor_leggings_recipe","cnc","minecraft:crafting_shaped","minecraft","minecraft:crafting","cnc:buckskin_leggings","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"cnc:cooked_game","cnc","minecraft:smelting","minecraft","minecraft:smelting","cnc:cooked_game","1","1","OK","OK","net.minecraft.world.item.crafting.SmeltingRecipe"
"cnc:cooked_game_campfire","cnc","minecraft:campfire_cooking","minecraft","minecraft:campfire_cooking","cnc:cooked_game","1","1","OK","OK","net.minecraft.world.item.crafting.CampfireCookingRecipe"
"cnc:cooked_game_smoker","cnc","minecraft:smoking","minecraft","minecraft:smoking","cnc:cooked_game","1","1","OK","OK","net.minecraft.world.item.crafting.SmokingRecipe"
"cnc:cooked_turkey","cnc","minecraft:smelting","minecraft","minecraft:smelting","cnc:cooked_turkey","1","1","OK","OK","net.minecraft.world.item.crafting.SmeltingRecipe"
"cnc:cooked_turkey_smoker","cnc","minecraft:smoking","minecraft","minecraft:smoking","cnc:cooked_turkey","1","1","OK","OK","net.minecraft.world.item.crafting.SmokingRecipe"
"cnc:effigy","cnc","minecraft:crafting_shaped","minecraft","minecraft:crafting","cnc:effigy","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"cnc:field_guide","cnc","minecraft:crafting_shapeless","minecraft","minecraft:crafting","cnc:field_guide","1","2","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"cnc:hunters_stew","cnc","minecraft:crafting_shaped","minecraft","minecraft:crafting","cnc:hunters_stew","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"cnc:leather_smoker","cnc","minecraft:smoking","minecraft","minecraft:smoking","minecraft:leather","1","1","OK","OK","net.minecraft.world.item.crafting.SmokingRecipe"
"cnc:parcooked_game","cnc","minecraft:smelting","minecraft","minecraft:smelting","cnc:parcooked_game","1","1","OK","OK","net.minecraft.world.item.crafting.SmeltingRecipe"
"cnc:parcooked_game_campfire","cnc","minecraft:campfire_cooking","minecraft","minecraft:campfire_cooking","cnc:parcooked_game","1","1","OK","OK","net.minecraft.world.item.crafting.CampfireCookingRecipe"
"cnc:parcooked_game_smoker","cnc","minecraft:smoking","minecraft","minecraft:smoking","cnc:parcooked_game","1","1","OK","OK","net.minecraft.world.item.crafting.SmokingRecipe"
"cnc:pemmican","cnc","minecraft:crafting_shaped","minecraft","minecraft:crafting","cnc:pemmican","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"cnc:tusk_club","cnc","minecraft:crafting_shaped","minecraft","minecraft:crafting","cnc:tusk_club","1","2","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"cnc:venison","cnc","minecraft:smelting","minecraft","minecraft:smelting","cnc:cooked_venison","1","1","OK","OK","net.minecraft.world.item.crafting.SmeltingRecipe"
"cnc:venison_campfire","cnc","minecraft:campfire_cooking","minecraft","minecraft:campfire_cooking","cnc:cooked_venison","1","1","OK","OK","net.minecraft.world.item.crafting.CampfireCookingRecipe"
"cnc:venison_smoker","cnc","minecraft:smoking","minecraft","minecraft:smoking","cnc:cooked_venison","1","1","OK","OK","net.minecraft.world.item.crafting.SmokingRecipe"
"cnc:waterfowl","cnc","minecraft:smelting","minecraft","minecraft:smelting","cnc:cooked_waterfowl","1","1","OK","OK","net.minecraft.world.item.crafting.SmeltingRecipe"
"cnc:waterfowl_campfire","cnc","minecraft:campfire_cooking","minecraft","minecraft:campfire_cooking","cnc:cooked_waterfowl","1","1","OK","OK","net.minecraft.world.item.crafting.CampfireCookingRecipe"
"cnc:waterfowl_smoker","cnc","minecraft:smoking","minecraft","minecraft:smoking","cnc:cooked_waterfowl","1","1","OK","OK","net.minecraft.world.item.crafting.SmokingRecipe"
"cnc:wishbone","cnc","minecraft:crafting_shapeless","minecraft","minecraft:crafting","minecraft:bone","1","1","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"eidolon_repraised:angels_sight","eidolon_repraised","eidolon_repraised:worktable","eidolon_repraised","eidolon_repraised:worktable","eidolon_repraised:angels_sight","1","13","OK","OK","alexthw.eidolon_repraised.recipe.WorktableRecipe"
"eidolon_repraised:arcane_gold_block","eidolon_repraised","minecraft:crafting_shaped","minecraft","minecraft:crafting","eidolon_repraised:arcane_gold_block","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"eidolon_repraised:arcane_gold_ingot","eidolon_repraised","minecraft:crafting_shaped","minecraft","minecraft:crafting","eidolon_repraised:arcane_gold_ingot","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"eidolon_repraised:arcane_gold_ingot_alchemy","eidolon_repraised","eidolon_repraised:crucible","eidolon_repraised","eidolon_repraised:crucible","eidolon_repraised:arcane_gold_ingot","2","5","OK","OK","alexthw.eidolon_repraised.recipe.CrucibleRecipe"
"eidolon_repraised:arcane_seal","eidolon_repraised","minecraft:crafting_shaped","minecraft","minecraft:crafting","eidolon_repraised:arcane_seal","2","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"eidolon_repraised:athame","eidolon_repraised","eidolon_repraised:worktable","eidolon_repraised","eidolon_repraised:worktable","eidolon_repraised:athame","1","13","OK","OK","alexthw.eidolon_repraised.recipe.WorktableRecipe"
"eidolon_repraised:basic_amulet","eidolon_repraised","minecraft:crafting_shaped","minecraft","minecraft:crafting","eidolon_repraised:basic_amulet","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"eidolon_repraised:basic_belt","eidolon_repraised","minecraft:crafting_shaped","minecraft","minecraft:crafting","eidolon_repraised:basic_belt","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"eidolon_repraised:basic_ring","eidolon_repraised","minecraft:crafting_shaped","minecraft","minecraft:crafting","eidolon_repraised:basic_ring","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"eidolon_repraised:blast_enchanted_ash","eidolon_repraised","minecraft:blasting","minecraft","minecraft:blasting","eidolon_repraised:enchanted_ash","2","1","OK","OK","net.minecraft.world.item.crafting.BlastingRecipe"
"eidolon_repraised:blast_lead_dust","eidolon_repraised","minecraft:blasting","minecraft","minecraft:blasting","immersiveengineering:ingot_lead","1","1","OK","OK","net.minecraft.world.item.crafting.BlastingRecipe"
"eidolon_repraised:blast_lead_ore","eidolon_repraised","minecraft:blasting","minecraft","minecraft:blasting","immersiveengineering:ingot_lead","1","1","OK","OK","net.minecraft.world.item.crafting.BlastingRecipe"
"eidolon_repraised:blast_pewter_blend","eidolon_repraised","minecraft:blasting","minecraft","minecraft:blasting","eidolon_repraised:pewter_ingot","1","1","OK","OK","net.minecraft.world.item.crafting.BlastingRecipe"
"eidolon_repraised:blast_raw_lead","eidolon_repraised","minecraft:blasting","minecraft","minecraft:blasting","immersiveengineering:ingot_lead","1","1","OK","OK","net.minecraft.world.item.crafting.BlastingRecipe"
"eidolon_repraised:blast_raw_silver","eidolon_repraised","minecraft:blasting","minecraft","minecraft:blasting","immersiveengineering:ingot_silver","1","1","OK","OK","net.minecraft.world.item.crafting.BlastingRecipe"
"eidolon_repraised:blast_silver_dust","eidolon_repraised","minecraft:blasting","minecraft","minecraft:blasting","immersiveengineering:ingot_silver","1","1","OK","OK","net.minecraft.world.item.crafting.BlastingRecipe"
"eidolon_repraised:blast_silver_ore","eidolon_repraised","minecraft:blasting","minecraft","minecraft:blasting","immersiveengineering:ingot_silver","1","1","OK","OK","net.minecraft.world.item.crafting.BlastingRecipe"
"eidolon_repraised:blasting_silver","eidolon_repraised","minecraft:blasting","minecraft","minecraft:blasting","immersiveengineering:nugget_silver","1","1","OK","OK","net.minecraft.world.item.crafting.BlastingRecipe"
"eidolon_repraised:bloodlust_incense","eidolon_repraised","eidolon_repraised:crucible","eidolon_repraised","eidolon_repraised:crucible","eidolon_repraised:bloodlust_incense","1","4","OK","OK","alexthw.eidolon_repraised.recipe.CrucibleRecipe"
"eidolon_repraised:bone_pile","eidolon_repraised","minecraft:crafting_shaped","minecraft","minecraft:crafting","eidolon_repraised:bone_pile","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"eidolon_repraised:bone_pile_slab","eidolon_repraised","minecraft:crafting_shaped","minecraft","minecraft:crafting","eidolon_repraised:bone_pile_slab","6","3","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"eidolon_repraised:bone_pile_stair","eidolon_repraised","minecraft:crafting_shaped","minecraft","minecraft:crafting","eidolon_repraised:bone_pile_stairs","4","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"eidolon_repraised:bone_pile_stonecutter_0","eidolon_repraised","minecraft:stonecutting","minecraft","minecraft:stonecutting","eidolon_repraised:bone_pile_slab","2","1","OK","OK","net.minecraft.world.item.crafting.StonecutterRecipe"
"eidolon_repraised:bone_pile_stonecutter_1","eidolon_repraised","minecraft:stonecutting","minecraft","minecraft:stonecutting","eidolon_repraised:bone_pile_stairs","1","1","OK","OK","net.minecraft.world.item.crafting.StonecutterRecipe"
"eidolon_repraised:bonechill_wand","eidolon_repraised","eidolon_repraised:worktable","eidolon_repraised","eidolon_repraised:worktable","eidolon_repraised:bonechill_wand","1","13","OK","OK","alexthw.eidolon_repraised.recipe.WorktableRecipe"
"eidolon_repraised:bonelord_chestplate","eidolon_repraised","eidolon_repraised:worktable","eidolon_repraised","eidolon_repraised:worktable","eidolon_repraised:bonelord_chestplate","1","13","OK","OK","alexthw.eidolon_repraised.recipe.WorktableRecipe"
"eidolon_repraised:bonelord_greaves","eidolon_repraised","eidolon_repraised:worktable","eidolon_repraised","eidolon_repraised:worktable","eidolon_repraised:bonelord_greaves","1","13","OK","OK","alexthw.eidolon_repraised.recipe.WorktableRecipe"
"eidolon_repraised:bonelord_helm","eidolon_repraised","eidolon_repraised:worktable","eidolon_repraised","eidolon_repraised:worktable","eidolon_repraised:bonelord_helm","1","10","OK","OK","alexthw.eidolon_repraised.recipe.WorktableRecipe"
"eidolon_repraised:brazier","eidolon_repraised","minecraft:crafting_shaped","minecraft","minecraft:crafting","eidolon_repraised:brazier","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"eidolon_repraised:candle","eidolon_repraised","minecraft:crafting_shaped","minecraft","minecraft:crafting","eidolon_repraised:candle","4","2","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"eidolon_repraised:candlestick","eidolon_repraised","minecraft:crafting_shaped","minecraft","minecraft:crafting","eidolon_repraised:candlestick","1","3","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"eidolon_repraised:censer","eidolon_repraised","minecraft:crafting_shaped","minecraft","minecraft:crafting","eidolon_repraised:censer","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
"eidolon_repraised:cleaving_axe","eidolon_repraised","eidolon_repraised:worktable","eidolon_repraised","eidolon_repraised:worktable","eidolon_repraised:cleaving_axe","1","10","OK","OK","alexthw.eidolon_repraised.recipe.WorktableRecipe"
"eidolon_repraised:codex","eidolon_repraised","minecraft:crafting_shapeless","minecraft","minecraft:crafting","eidolon_repraised:codex","1","2","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"eidolon_repraised:convert_disc","eidolon_repraised","eidolon_repraised:chant_conversion","eidolon_repraised","eidolon_repraised:chant_conversion","eidolon_repraised:music_disc_parousia","1","0","EMPTY","OK","alexthw.eidolon_repraised.recipe.ChantConversionRecipe"
"eidolon_repraised:convert_inlay_holy","eidolon_repraised","eidolon_repraised:chant_conversion","eidolon_repraised","eidolon_repraised:chant_conversion","eidolon_repraised:holy_symbol","1","0","EMPTY","OK","alexthw.eidolon_repraised.recipe.ChantConversionRecipe"
"eidolon_repraised:convert_inlay_unholy","eidolon_repraised","eidolon_repraised:chant_conversion","eidolon_repraised","eidolon_repraised:chant_conversion","eidolon_repraised:unholy_symbol","1","0","EMPTY","OK","alexthw.eidolon_repraised.recipe.ChantConversionRecipe"
"eidolon_repraised:convert_top_hat","eidolon_repraised","eidolon_repraised:chant_conversion","eidolon_repraised","eidolon_repraised:chant_conversion","eidolon_repraised:top_hat","1","0","EMPTY","OK","alexthw.eidolon_repraised.recipe.ChantConversionRecipe"
"eidolon_repraised:create_water","eidolon_repraised","eidolon_repraised:chant","eidolon_repraised","eidolon_repraised:chant","","","0","EMPTY","EMPTY","alexthw.eidolon_repraised.recipe.ChantRecipe"
"eidolon_repraised:crimson_essence_fungus","eidolon_repraised","eidolon_repraised:crucible","eidolon_repraised","eidolon_repraised:crucible","eidolon_repraised:crimson_essence","4","3","OK","OK","alexthw.eidolon_repraised.recipe.CrucibleRecipe"
"eidolon_repraised:crimson_essence_roots","eidolon_repraised","eidolon_repraised:crucible","eidolon_repraised","eidolon_repraised:crucible","eidolon_repraised:crimson_essence","2","3","OK","OK","alexthw.eidolon_repraised.recipe.CrucibleRecipe"
"eidolon_repraised:crimson_essence_vines","eidolon_repraised","eidolon_repraised:crucible","eidolon_repraised","eidolon_repraised:crucible","eidolon_repraised:crimson_essence","2","3","OK","OK","alexthw.eidolon_repraised.recipe.CrucibleRecipe"
"eidolon_repraised:crimson_gem","eidolon_repraised","eidolon_repraised:crucible","eidolon_repraised","eidolon_repraised:crucible","eidolon_repraised:crimson_gem","1","7","OK","OK","alexthw.eidolon_repraised.recipe.CrucibleRecipe"
"eidolon_repraised:crucible","eidolon_repraised","minecraft:crafting_shaped","minecraft","minecraft:crafting","eidolon_repraised:crucible","1","9","OK","OK","net.minecraft.world.item.crafting.ShapedRecipe"
