id,namespace,path,description_id,class,category,width,height,tags,resource_references
"fangs_n_claws:cave_ogre","fangs_n_claws","cave_ogre","entity.fangs_n_claws.cave_ogre","net.minecraft.world.entity.EntityType","monster","1.95","2.95","","1"
"fangs_n_claws:dart_goblin","fangs_n_claws","dart_goblin","entity.fangs_n_claws.dart_goblin","net.minecraft.world.entity.EntityType","monster","0.6","1.4","","1"
"fangs_n_claws:desert_scorpion","fangs_n_claws","desert_scorpion","entity.fangs_n_claws.desert_scorpion","net.minecraft.world.entity.EntityType","monster","1.4","0.9","","1"
"fangs_n_claws:evil_bat","fangs_n_claws","evil_bat","entity.fangs_n_claws.evil_bat","net.minecraft.world.entity.EntityType","ambient","0.5","0.9","","1"
"fangs_n_claws:evil_eye_projectile","fangs_n_claws","evil_eye_projectile","entity.fangs_n_claws.evil_eye_projectile","net.minecraft.world.entity.EntityType","misc","0.25","0.25","","0"
"fangs_n_claws:feather_projectile","fangs_n_claws","feather_projectile","entity.fangs_n_claws.feather_projectile","net.minecraft.world.entity.EntityType","misc","0.5","0.5","","0"
"fangs_n_claws:fire_ghost","fangs_n_claws","fire_ghost","entity.fangs_n_claws.fire_ghost","net.minecraft.world.entity.EntityType","monster","0.8","1.6","","1"
"fangs_n_claws:fire_pitchfork","fangs_n_claws","fire_pitchfork","entity.fangs_n_claws.fire_pitchfork","net.minecraft.world.entity.EntityType","misc","0.5","0.5","","6"
"fangs_n_claws:frost_scorpion","fangs_n_claws","frost_scorpion","entity.fangs_n_claws.frost_scorpion","net.minecraft.world.entity.EntityType","monster","1.4","0.9","","1"
"fangs_n_claws:frozen_box","fangs_n_claws","frozen_box","entity.fangs_n_claws.frozen_box","net.minecraft.world.entity.EntityType","misc","1.0","1.0","","0"
"fangs_n_claws:ghost","fangs_n_claws","ghost","entity.fangs_n_claws.ghost","net.minecraft.world.entity.EntityType","monster","0.8","1.6","","2"
"fangs_n_claws:goblin","fangs_n_claws","goblin","entity.fangs_n_claws.goblin","net.minecraft.world.entity.EntityType","monster","0.6","1.4","","2"
"fangs_n_claws:golem","fangs_n_claws","golem","entity.fangs_n_claws.golem","net.minecraft.world.entity.EntityType","monster","1.95","2.6","","2"
"fangs_n_claws:hell_ogre","fangs_n_claws","hell_ogre","entity.fangs_n_claws.hell_ogre","net.minecraft.world.entity.EntityType","monster","1.95","2.95","","1"
"fangs_n_claws:hellfire_pitchfork","fangs_n_claws","hellfire_pitchfork","entity.fangs_n_claws.hellfire_pitchfork","net.minecraft.world.entity.EntityType","misc","0.5","0.5","","8"
"fangs_n_claws:horse_bat","fangs_n_claws","horse_bat","entity.fangs_n_claws.horse_bat","net.minecraft.world.entity.EntityType","monster","1.4","1.6","","0"
"fangs_n_claws:ice_golem","fangs_n_claws","ice_golem","entity.fangs_n_claws.ice_golem","net.minecraft.world.entity.EntityType","monster","1.95","2.6","","1"
"fangs_n_claws:imp","fangs_n_claws","imp","entity.fangs_n_claws.imp","net.minecraft.world.entity.EntityType","monster","0.5","1.2","","2"
"fangs_n_claws:mimic","fangs_n_claws","mimic","entity.fangs_n_claws.mimic","net.minecraft.world.entity.EntityType","monster","0.9","0.9","","1"
"fangs_n_claws:nether_scorpion","fangs_n_claws","nether_scorpion","entity.fangs_n_claws.nether_scorpion","net.minecraft.world.entity.EntityType","monster","1.4","0.9","","1"
"fangs_n_claws:netherite_claw_hook","fangs_n_claws","netherite_claw_hook","entity.fangs_n_claws.netherite_claw_hook","net.minecraft.world.entity.EntityType","misc","0.25","0.25","","0"
"fangs_n_claws:nightmare_horse","fangs_n_claws","nightmare_horse","entity.fangs_n_claws.nightmare_horse","net.minecraft.world.entity.EntityType","monster","1.4","1.6","","0"
"fangs_n_claws:ogre","fangs_n_claws","ogre","entity.fangs_n_claws.ogre","net.minecraft.world.entity.EntityType","monster","1.95","2.95","","2"
"fangs_n_claws:owlbear","fangs_n_claws","owlbear","entity.fangs_n_claws.owlbear","net.minecraft.world.entity.EntityType","monster","1.95","1.95","","2"
"fangs_n_claws:poisonous_dart","fangs_n_claws","poisonous_dart","entity.fangs_n_claws.poisonous_dart","net.minecraft.world.entity.EntityType","misc","0.5","0.5","","3"
"fangs_n_claws:scorpion","fangs_n_claws","scorpion","entity.fangs_n_claws.scorpion","net.minecraft.world.entity.EntityType","monster","1.4","0.9","","2"
"fangs_n_claws:shrike","fangs_n_claws","shrike","entity.fangs_n_claws.shrike","net.minecraft.world.entity.EntityType","monster","1.95","1.95","","2"
"fangs_n_claws:silver_skeleton","fangs_n_claws","silver_skeleton","entity.fangs_n_claws.silver_skeleton","net.minecraft.world.entity.EntityType","monster","0.6","1.95","","2"
"fangs_n_claws:skeleton_horse","fangs_n_claws","skeleton_horse","entity.fangs_n_claws.skeleton_horse","net.minecraft.world.entity.EntityType","monster","1.4","1.6","","0"
"fangs_n_claws:tomahawk_projectile","fangs_n_claws","tomahawk_projectile","entity.fangs_n_claws.tomahawk_projectile","net.minecraft.world.entity.EntityType","misc","0.5","0.5","","0"
"fangs_n_claws:velocity_arrow","fangs_n_claws","velocity_arrow","entity.fangs_n_claws.velocity_arrow","net.minecraft.world.entity.EntityType","misc","0.5","0.5","","3"
"fangs_n_claws:werevillager","fangs_n_claws","werevillager","entity.fangs_n_claws.werevillager","net.minecraft.world.entity.EntityType","creature","0.6","1.95","","2"
"fangs_n_claws:werewolf","fangs_n_claws","werewolf","entity.fangs_n_claws.werewolf","net.minecraft.world.entity.EntityType","monster","1.0","1.95","","3"
"fangs_n_claws:wild_wolf","fangs_n_claws","wild_wolf","entity.fangs_n_claws.wild_wolf","net.minecraft.world.entity.EntityType","monster","0.78","1.105","","0"
"fangs_n_claws:zombie_horse","fangs_n_claws","zombie_horse","entity.fangs_n_claws.zombie_horse","net.minecraft.world.entity.EntityType","monster","1.4","1.6","","0"
"farmersdelight:rotten_tomato","farmersdelight","rotten_tomato","entity.farmersdelight.rotten_tomato","net.minecraft.world.entity.EntityType","misc","0.25","0.25","","5"
"feywild:autumn_pixie","feywild","autumn_pixie","entity.feywild.autumn_pixie","net.minecraft.world.entity.EntityType","creature","0.7","1.7","","0"
"feywild:autumn_tree_ent","feywild","autumn_tree_ent","entity.feywild.autumn_tree_ent","net.minecraft.world.entity.EntityType","creature","2.0","3.9","","0"
"feywild:bee_knight","feywild","bee_knight","entity.feywild.bee_knight","net.minecraft.world.entity.EntityType","creature","0.7","1.3","","0"
"feywild:bee_mount","feywild","bee_mount","entity.feywild.bee_mount","net.minecraft.world.entity.EntityType","creature","1.3","0.9","","0"
"feywild:bellsnickel","feywild","bellsnickel","entity.feywild.bellsnickel","net.minecraft.world.entity.EntityType","creature","0.6","1.8","","0"
"feywild:fey_wings","feywild","fey_wings","entity.feywild.fey_wings","net.minecraft.world.entity.EntityType","misc","0.6","1.8","","0"
"feywild:mab","feywild","mab","entity.feywild.mab","net.minecraft.world.entity.EntityType","creature","1.8","3.7","","0"
"feywild:mandragora","feywild","mandragora","entity.feywild.mandragora","net.minecraft.world.entity.EntityType","creature","0.6","1.8","","0"
"feywild:moo_shroom_cow","feywild","moo_shroom_cow","entity.feywild.moo_shroom_cow","net.minecraft.world.entity.EntityType","creature","0.6","1.8","","0"
"feywild:shroomling","feywild","shroomling","entity.feywild.shroomling","net.minecraft.world.entity.EntityType","creature","0.6","1.8","","0"
"feywild:spring_pixie","feywild","spring_pixie","entity.feywild.spring_pixie","net.minecraft.world.entity.EntityType","creature","0.7","1.7","","0"
"feywild:spring_tree_ent","feywild","spring_tree_ent","entity.feywild.spring_tree_ent","net.minecraft.world.entity.EntityType","creature","2.0","3.9","","0"
"feywild:sprite","feywild","sprite","entity.feywild.sprite","net.minecraft.world.entity.EntityType","creature","0.6","1.8","","0"
"feywild:summer_pixie","feywild","summer_pixie","entity.feywild.summer_pixie","net.minecraft.world.entity.EntityType","creature","0.7","1.7","","0"
"feywild:summer_tree_ent","feywild","summer_tree_ent","entity.feywild.summer_tree_ent","net.minecraft.world.entity.EntityType","creature","2.0","3.9","","0"
"feywild:titania","feywild","titania","entity.feywild.titania","net.minecraft.world.entity.EntityType","creature","1.8","3.7","","0"
"feywild:winter_pixie","feywild","winter_pixie","entity.feywild.winter_pixie","net.minecraft.world.entity.EntityType","creature","0.7","1.7","","0"
"feywild:winter_tree_ent","feywild","winter_tree_ent","entity.feywild.winter_tree_ent","net.minecraft.world.entity.EntityType","creature","2.0","3.9","","0"
"gaze:saber","gaze","saber","entity.gaze.saber","net.minecraft.world.entity.EntityType","misc","1.0","1.0","","0"
"gaze:seidhr_bolt","gaze","seidhr_bolt","entity.gaze.seidhr_bolt","net.minecraft.world.entity.EntityType","misc","1.0","1.0","","0"
"gaze:splintered_world","gaze","splintered_world","entity.gaze.splintered_world","net.minecraft.world.entity.EntityType","misc","1.0","1.0","","4"
"gaze:sword_domain_projectile","gaze","sword_domain_projectile","entity.gaze.sword_domain_projectile","net.minecraft.world.entity.EntityType","misc","1.0","1.0","","0"
"gaze:veils_edge","gaze","veils_edge","entity.gaze.veils_edge","net.minecraft.world.entity.EntityType","misc","1.0","1.0","","0"
"graveyard:acolyte","graveyard","acolyte","entity.graveyard.acolyte","net.minecraft.world.entity.EntityType","monster","0.6","1.9","","1"
"graveyard:corrupted_pillager","graveyard","corrupted_pillager","entity.graveyard.corrupted_pillager","net.minecraft.world.entity.EntityType","monster","0.6","1.9","","1"
"graveyard:corrupted_vindicator","graveyard","corrupted_vindicator","entity.graveyard.corrupted_vindicator","net.minecraft.world.entity.EntityType","monster","0.6","1.9","","1"
"graveyard:falling_corpse","graveyard","falling_corpse","entity.graveyard.falling_corpse","net.minecraft.world.entity.EntityType","monster","0.4","0.5","","0"
"graveyard:ghoul","graveyard","ghoul","entity.graveyard.ghoul","net.minecraft.world.entity.EntityType","monster","0.8","2.1","","5"
"graveyard:ghouling","graveyard","ghouling","entity.graveyard.ghouling","net.minecraft.world.entity.EntityType","creature","0.7","2.0","","0"
"graveyard:lich","graveyard","lich","entity.graveyard.lich","net.minecraft.world.entity.EntityType","monster","0.9","4.0","fieldguide:bosses|fieldguide:kill_to_unlock","2"
"graveyard:nameless_hanged","graveyard","nameless_hanged","entity.graveyard.nameless_hanged","net.minecraft.world.entity.EntityType","creature","0.8","2.5","","0"
"graveyard:nightmare","graveyard","nightmare","entity.graveyard.nightmare","net.minecraft.world.entity.EntityType","monster","0.6","2.6","","0"
"graveyard:reaper","graveyard","reaper","entity.graveyard.reaper","net.minecraft.world.entity.EntityType","monster","0.5","1.4","","1"
"graveyard:revenant","graveyard","revenant","entity.graveyard.revenant","net.minecraft.world.entity.EntityType","monster","0.6","1.9","","5"
"graveyard:skeleton_creeper","graveyard","skeleton_creeper","entity.graveyard.skeleton_creeper","net.minecraft.world.entity.EntityType","monster","0.6","1.7","","5"
"graveyard:skull","graveyard","skull","entity.graveyard.skull","net.minecraft.world.entity.EntityType","misc","0.25","0.25","","0"
"graveyard:wraith","graveyard","wraith","entity.graveyard.wraith","net.minecraft.world.entity.EntityType","monster","0.6","1.8","","0"
"immersiveengineering:bulwark","immersiveengineering","bulwark","entity.immersiveengineering.bulwark","net.minecraft.world.entity.EntityType","monster","0.7","2.25","minecraft:raiders|vampiresdelight:drops_human_eye","1"
"immersiveengineering:cart_metalbarrel","immersiveengineering","cart_metalbarrel","entity.immersiveengineering.cart_metalbarrel","net.minecraft.world.entity.EntityType","misc","0.98","0.7","","0"
"immersiveengineering:cart_reinforcedcrate","immersiveengineering","cart_reinforcedcrate","entity.immersiveengineering.cart_reinforcedcrate","net.minecraft.world.entity.EntityType","misc","0.98","0.7","","0"
"immersiveengineering:cart_woodenbarrel","immersiveengineering","cart_woodenbarrel","entity.immersiveengineering.cart_woodenbarrel","net.minecraft.world.entity.EntityType","misc","0.98","0.7","","0"
"immersiveengineering:cart_woodencrate","immersiveengineering","cart_woodencrate","entity.immersiveengineering.cart_woodencrate","net.minecraft.world.entity.EntityType","misc","0.98","0.7","","0"
"immersiveengineering:chemthrower_shot","immersiveengineering","chemthrower_shot","entity.immersiveengineering.chemthrower_shot","net.minecraft.world.entity.EntityType","misc","0.1","0.1","","0"
"immersiveengineering:commando","immersiveengineering","commando","entity.immersiveengineering.commando","net.minecraft.world.entity.EntityType","monster","0.6","1.95","minecraft:raiders|vampiresdelight:drops_human_eye","1"
"immersiveengineering:explosive","immersiveengineering","explosive","entity.immersiveengineering.explosive","net.minecraft.world.entity.EntityType","misc","0.98","0.98","","0"
"immersiveengineering:fluorescent_tube","immersiveengineering","fluorescent_tube","entity.immersiveengineering.fluorescent_tube","net.minecraft.world.entity.EntityType","misc","0.75","1.75","","1"
"immersiveengineering:fusilier","immersiveengineering","fusilier","entity.immersiveengineering.fusilier","net.minecraft.world.entity.EntityType","monster","0.6","1.95","minecraft:raiders|vampiresdelight:drops_human_eye","1"
"immersiveengineering:railgun_shot","immersiveengineering","railgun_shot","entity.immersiveengineering.railgun_shot","net.minecraft.world.entity.EntityType","misc","0.5","0.5","","0"
"immersiveengineering:revolver_shot","immersiveengineering","revolver_shot","entity.immersiveengineering.revolver_shot","net.minecraft.world.entity.EntityType","misc","0.125","0.125","","0"
"immersiveengineering:revolver_shot_flare","immersiveengineering","revolver_shot_flare","entity.immersiveengineering.revolver_shot_flare","net.minecraft.world.entity.EntityType","misc","0.125","0.125","","0"
"immersiveengineering:revolver_shot_homing","immersiveengineering","revolver_shot_homing","entity.immersiveengineering.revolver_shot_homing","net.minecraft.world.entity.EntityType","misc","0.125","0.125","","0"
"immersiveengineering:revolver_shot_wolfpack","immersiveengineering","revolver_shot_wolfpack","entity.immersiveengineering.revolver_shot_wolfpack","net.minecraft.world.entity.EntityType","misc","0.125","0.125","","0"
"immersiveengineering:sawblade","immersiveengineering","sawblade","entity.immersiveengineering.sawblade","net.minecraft.world.entity.EntityType","misc","0.75","0.2","","3"
"immersiveengineering:skyline_hook","immersiveengineering","skyline_hook","entity.immersiveengineering.skyline_hook","net.minecraft.world.entity.EntityType","misc","0.125","0.125","","0"
"kaleidoscope_tavern:sit","kaleidoscope_tavern","sit","entity.kaleidoscope_tavern.sit","net.minecraft.world.entity.EntityType","misc","0.5","0.1","","0"
"kaleidoscope_tavern:thrown_molotov","kaleidoscope_tavern","thrown_molotov","entity.kaleidoscope_tavern.thrown_molotov","net.minecraft.world.entity.EntityType","misc","0.25","0.25","","0"
"lore_master:bellsnickel","lore_master","bellsnickel","entity.lore_master.bellsnickel","net.minecraft.world.entity.EntityType","creature","0.6","1.8","","0"
"lore_master:lore_master","lore_master","lore_master","entity.lore_master.lore_master","net.minecraft.world.entity.EntityType","creature","0.6","1.8","","0"
"malstone:blood_spirit","malstone","blood_spirit","entity.malstone.blood_spirit","net.minecraft.world.entity.EntityType","misc","0.5","0.5","","0"
"malum:ascending_block","malum","ascending_block","entity.malum.ascending_block","net.minecraft.world.entity.EntityType","misc","0.98","0.98","","0"
"malum:bound_rite_locus","malum","bound_rite_locus","entity.malum.bound_rite_locus","net.minecraft.world.entity.EntityType","misc","1.0","1.0","","0"
"malum:draining_bolt","malum","draining_bolt","entity.malum.draining_bolt","net.minecraft.world.entity.EntityType","misc","1.5","1.5","","0"
"malum:entropic_flame_bolt","malum","entropic_flame_bolt","entity.malum.entropic_flame_bolt","net.minecraft.world.entity.EntityType","misc","3.0","3.0","","0"
"malum:etheric_nitrate","malum","etheric_nitrate","entity.malum.etheric_nitrate","net.minecraft.world.entity.EntityType","misc","0.5","0.5","","0"
"malum:hex_bolt","malum","hex_bolt","entity.malum.hex_bolt","net.minecraft.world.entity.EntityType","misc","1.25","1.25","","0"
"malum:hidden_blade_delayed_impact","malum","hidden_blade_delayed_impact","entity.malum.hidden_blade_delayed_impact","net.minecraft.world.entity.EntityType","misc","8.0","8.0","","0"
"malum:natural_spirit","malum","natural_spirit","entity.malum.natural_spirit","net.minecraft.world.entity.EntityType","misc","0.5","0.75","","0"
"malum:pneuma_void","malum","pneuma_void","entity.malum.pneuma_void","net.minecraft.world.entity.EntityType","misc","1.0","1.0","","0"
"malum:scythe_boomerang","malum","scythe_boomerang","entity.malum.scythe_boomerang","net.minecraft.world.entity.EntityType","misc","2.0","2.0","","0"
"malum:scythe_maelstrom","malum","scythe_maelstrom","entity.malum.scythe_maelstrom","net.minecraft.world.entity.EntityType","misc","2.0","2.0","","7"
"malum:seeking_rite_locus","malum","seeking_rite_locus","entity.malum.seeking_rite_locus","net.minecraft.world.entity.EntityType","misc","1.0","1.0","","0"
"malum:spellweavers_locus","malum","spellweavers_locus","entity.malum.spellweavers_locus","net.minecraft.world.entity.EntityType","misc","0.25","0.25","","0"
"malum:sundering_anchor","malum","sundering_anchor","entity.malum.sundering_anchor","net.minecraft.world.entity.EntityType","misc","2.0","2.0","","13"
"malum:thrown_gluttony","malum","thrown_gluttony","entity.malum.thrown_gluttony","net.minecraft.world.entity.EntityType","misc","0.25","0.25","","0"
"malum:vivid_nitrate","malum","vivid_nitrate","entity.malum.vivid_nitrate","net.minecraft.world.entity.EntityType","misc","0.5","0.5","","0"
"malumarma:arcane_bolt","malumarma","arcane_bolt","entity.malumarma.arcane_bolt","net.minecraft.world.entity.EntityType","misc","0.5","0.5","","0"
"mca:crib","mca","crib","entity.mca.crib","net.minecraft.world.entity.EntityType","misc","1.2","1.0","","0"
"mca:female_villager","mca","female_villager","entity.mca.female_villager","net.minecraft.world.entity.EntityType","misc","0.6","2.0","minecraft:villager","3"
"mca:female_zombie_villager","mca","female_zombie_villager","entity.mca.female_zombie_villager","net.minecraft.world.entity.EntityType","monster","0.6","2.0","","0"
"mca:grim_reaper","mca","grim_reaper","entity.mca.grim_reaper","net.minecraft.world.entity.EntityType","monster","1.0","2.6","","1"
"mca:male_villager","mca","male_villager","entity.mca.male_villager","net.minecraft.world.entity.EntityType","misc","0.6","2.0","minecraft:villager","3"
"mca:male_zombie_villager","mca","male_zombie_villager","entity.mca.male_zombie_villager","net.minecraft.world.entity.EntityType","monster","0.6","2.0","","0"
"minecraft:allay","minecraft","allay","entity.minecraft.allay","net.minecraft.world.entity.EntityType","creature","0.35","0.6","c:allay|enchanted:taglock_blacklist|minecraft:fall_damage_immune|occultism:flying_passive|occultism:random_animals_small","6"
"minecraft:area_effect_cloud","minecraft","area_effect_cloud","entity.minecraft.area_effect_cloud","net.minecraft.world.entity.EntityType","misc","6.0","0.5","","0"
"minecraft:armadillo","minecraft","armadillo","entity.minecraft.armadillo","net.minecraft.world.entity.EntityType","creature","0.7","0.65","c:armadillos|occultism:random_animals_special","10"
"minecraft:armor_stand","minecraft","armor_stand","entity.minecraft.armor_stand","net.minecraft.world.entity.EntityType","misc","0.5","1.975","fieldguide:blacklisted|minecraft:can_breathe_under_water","3"
"minecraft:arrow","minecraft","arrow","entity.minecraft.arrow","net.minecraft.world.entity.EntityType","misc","0.5","0.5","minecraft:arrows|minecraft:impact_projectiles","41"
"minecraft:axolotl","minecraft","axolotl","entity.minecraft.axolotl","net.minecraft.world.entity.EntityType","axolotls","0.75","0.42","c:axolotls|minecraft:aquatic|minecraft:can_breathe_under_water|minecraft:sensitive_to_impaling|occultism:random_animals_water|vampiricageing:infected_blacklist|vampiricageing:petty_devour","7"
"minecraft:bat","minecraft","bat","entity.minecraft.bat","net.minecraft.world.entity.EntityType","ambient","0.5","0.9","c:bats|minecraft:fall_damage_immune|occultism:flying_passive|occultism:random_animals_small","55"
